年,月,日,レーティング
2013,4,17,1792
2013,4,18,1783
2013,6,6,1779
2013,6,20,1783
2013,8,9,1776
2013,9,6,1767
2013,9,12,1774
2013,9,15,1781
2013,9,21,1770
2013,9,25,1777
2013,10,3,1785
2013,10,8,1776
2013,10,12,1782
2013,10,18,1790
2013,10,21,1798
2013,10,28,1801
2013,11,2,1794
2013,11,7,1796
2013,11,10,1787
2013,11,13,1799
2013,11,21,1793
2013,11,25,1786
2013,11,29,1782
2013,11,29,1789
2013,12,2,1797
2013,12,12,1789
2013,12,20,1794
2013,1,7,1797
2013,1,10,1790
2013,1,21,1785
2013,1,24,1781
2013,2,5,1788
2013,2,18,1797
2013,2,27,1804
2013,3,7,1810
2013,3,12,1800
2013,3,26,1804
2014,4,3,1797
2014,4,11,1803
2014,5,14,1794
2014,5,23,1783
2014,6,10,1775
2014,6,23,1768
2014,7,18,1772
2014,8,17,1779
2014,8,28,1767
2014,9,3,1760
2014,9,6,1751
2014,9,11,1759
2014,10,2,1764
2014,10,5,1758
2014,10,10,1754
2014,10,16,1756
2014,10,31,1765
2014,11,6,1771
2014,11,13,1773
2014,11,17,1781
2014,11,21,1785
2014,11,21,1789
2014,11,27,1792
2014,12,19,1778
2014,12,25,1787
2014,1,8,1774
2014,1,13,1764
2014,1,16,1773
2014,1,29,1765
2014,2,6,1771
2014,3,1,1777
2014,3,5,1772
2014,3,10,1781
2014,3,16,1792
2015,4,3,1784
2015,4,23,1792
2015,5,12,1799
2015,5,18,1792
2015,5,20,1800
2015,6,19,1792
2015,7,2,1801
2015,7,9,1792
2015,7,29,1786
2015,8,5,1780
2015,8,21,1787
2015,8,25,1793
2015,8,25,1801
2015,9,4,1793
2015,9,10,1802
2015,9,16,1812
2015,9,25,1815
2015,10,2,1804
2015,10,4,1796
2015,10,8,1800
2015,10,14,1807
2015,10,22,1814
2015,10,26,1823
2015,11,9,1809
2015,11,12,1804
2015,11,16,1812
2015,11,20,1819
2015,11,29,1810
2015,12,4,1816
2015,12,8,1811
2015,12,15,1802
2015,12,24,1813
2015,12,24,1819
2015,1,8,1809
2015,1,13,1816
2015,2,1,1821
2015,2,15,1815
2015,2,21,1803
2015,2,27,1810
2015,3,10,1801
2015,3,13,1808
2015,3,25,1798
2016,4,26,1805
2016,5,9,1796
2016,5,31,1787
2016,6,16,1778
2016,6,23,1784
2016,6,30,1785
2016,7,8,1789
2016,7,21,1794
2016,7,26,1800
2016,8,4,1792
2016,8,9,1799
2016,8,12,1806
2016,9,15,1811
2016,9,18,1816
2016,9,25,1825
2016,9,29,1828
2016,10,3,1835
2016,10,6,1824
2016,10,14,1817
2016,10,18,1811
2016,10,21,1802
2016,10,27,1812
2016,10,30,1816
2016,11,4,1816
2016,11,10,1826
2016,11,18,1830
2016,11,25,1837
2016,12,9,1843
2016,12,9,1847
2016,12,14,1855
2016,12,22,1845
2016,12,27,1835
2016,1,8,1837
2016,1,20,1844
2016,1,23,1836
2016,1,26,1842
2016,2,1,1848
2016,2,5,1854
2016,2,8,1860
2016,2,13,1866
2016,2,16,1855
2016,2,19,1861
2016,2,24,1850
2016,3,1,1840
2016,3,9,1830
2016,3,14,1834
2016,3,22,1841
2016,3,25,1847
2017,4,6,1838
2017,4,13,1829
2017,4,27,1836
2018,4,3,1832
2018,4,9,1825
2018,5,11,1832
2018,5,24,1837
2018,6,14,1841
2018,6,22,1847
2018,6,28,1838
2018,7,3,1846
2018,7,13,1835
2018,7,19,1826
2018,7,31,1833
2018,8,5,1825
2018,8,10,1815
2018,9,7,1822
2018,9,10,1828
2018,9,21,1814
2018,10,5,1806
2018,10,18,1809
2018,10,24,1800
2018,11,7,1793
2018,11,18,1784
2018,11,30,1790
2018,12,5,1782
2018,1,8,1788
2018,1,13,1795
2018,1,13,1798
2018,1,19,1792
2018,1,19,1797
2018,1,26,1787
2018,1,31,1781
2018,2,6,1788
2018,2,10,1783
2018,2,15,1773
2018,2,20,1767
2018,2,24,1776
2018,3,1,1771
2018,3,11,1765
2018,3,14,1776
2018,3,22,1783
2019,4,5,1790
2019,4,9,1797
2019,4,19,1802
2019,5,17,1793
